total_pagar;fecha_emision;fecha_vencimiento;estado_pago;corte;subsidio;lectura_anterior;lectura_actual;fecha_actual;fecha_anterior;consumo;id_cliente
33660;04-11-2025 0:00;24-11-2025 0:00;0;1;0;108;108;25-10-2025 0:00;25-09-2025 0:00;0;1
13680;04-11-2025 0:00;24-11-2025 0:00;1;0;1;758;772;25-10-2025 0:00;25-09-2025 0:00;14;2
27480;04-11-2025 0:00;24-11-2025 0:00;0;1;0;339;340;25-10-2025 0:00;25-09-2025 0:00;1;3
9780;04-11-2025 0:00;24-11-2025 0:00;0;0;1;634;643;25-10-2025 0:00;25-09-2025 0:00;9;4
26120;04-11-2025 0:00;24-11-2025 0:00;0;0;0;424;429;25-10-2025 0:00;25-09-2025 0:00;5;5
24760;04-11-2025 0:00;24-11-2025 0:00;1;0;0;470;483;25-10-2025 0:00;25-09-2025 0:00;13;6
8480;04-11-2025 0:00;24-11-2025 0:00;0;0;1;486;493;25-10-2025 0:00;25-09-2025 0:00;7;7
5880;04-11-2025 0:00;24-11-2025 0:00;0;0;1;151;154;25-10-2025 0:00;25-09-2025 0:00;3;8
210190;04-11-2025 0:00;24-11-2025 0:00;0;0;0;1107;1121;25-10-2025 0:00;25-09-2025 0:00;14;9
0;01-01-2024 0:00;24-11-2025 0:00;1;0;1;268;273;25-10-2025 0:00;25-09-2025 0:00;5;10
5230;04-11-2025 0:00;24-11-2025 0:00;0;0;1;294;296;25-10-2025 0:00;25-09-2025 0:00;2;11
2860;01-01-2024 0:00;24-11-2025 0:00;0;1;1;274;281;25-10-2025 0:00;25-09-2025 0:00;7;12
57710;04-11-2025 0:00;24-11-2025 0:00;0;0;0;927;941;25-10-2025 0:00;25-09-2025 0:00;14;13
24760;04-11-2025 0:00;24-11-2025 0:00;0;0;0;579;592;25-10-2025 0:00;25-09-2025 0:00;13;14
13680;04-11-2025 0:00;24-11-2025 0:00;1;0;1;709;723;25-10-2025 0:00;25-09-2025 0:00;14;15
48060;04-11-2025 0:00;24-11-2025 0:00;0;1;1;519;532;25-10-2025 0:00;25-09-2025 0:00;13;16
7860;04-11-2025 0:00;24-11-2025 0:00;1;0;0;15;15;25-10-2025 0:00;25-09-2025 0:00;0;17
9780;04-11-2025 0:00;24-11-2025 0:00;1;0;1;604;613;25-10-2025 0:00;25-09-2025 0:00;9;18
54920;04-11-2025 0:00;24-11-2025 0:00;1;1;0;496;504;25-10-2025 0:00;25-09-2025 0:00;8;19
7780;04-11-2025 0:00;24-11-2025 0:00;0;0;1;884;897;25-10-2025 0:00;25-09-2025 0:00;13;20
8360;04-11-2025 0:00;24-11-2025 0:00;1;0;0;6;11;25-10-2025 0:00;25-09-2025 0:00;5;21
12860;04-11-2025 0:00;24-11-2025 0:00;0;0;0;798;808;25-10-2025 0:00;25-09-2025 0:00;10;22
28100;04-11-2025 0:00;24-11-2025 0:00;1;1;1;1605;1618;25-10-2025 0:00;25-09-2025 0:00;13;23
8360;04-11-2025 0:00;24-11-2025 0:00;1;0;0;438;443;25-10-2025 0:00;25-09-2025 0:00;5;24
63940;04-11-2025 0:00;24-11-2025 0:00;1;1;0;614;624;25-10-2025 0:00;25-09-2025 0:00;10;25
271130;04-11-2025 0:00;24-11-2025 0:00;1;1;0;0;0;25-10-2025 0:00;25-09-2025 0:00;0;26
11060;04-11-2025 0:00;24-11-2025 0:00;1;0;0;153;161;25-10-2025 0:00;25-09-2025 0:00;8;27
6560;04-11-2025 0:00;24-11-2025 0:00;1;0;0;191;194;25-10-2025 0:00;25-09-2025 0:00;3;28
3860;04-11-2025 0:00;24-11-2025 0:00;1;0;0;139;139;25-10-2025 0:00;25-09-2025 0:00;0;29
20260;04-11-2025 0:00;24-11-2025 0:00;1;0;1;1509;1517;25-10-2025 0:00;25-09-2025 0:00;8;30
11060;04-11-2025 0:00;24-11-2025 0:00;0;0;0;989;997;25-10-2025 0:00;25-09-2025 0:00;8;31
17490;04-11-2025 0:00;24-11-2025 0:00;0;0;1;417;426;25-10-2025 0:00;25-09-2025 0:00;9;32
